team1,team1_bpi,team2,team2_bpi,team1_points,team2_points,points_difference,offensive_efficiency_team1,offensive_efficiency_team2,offensive_efficiency_difference,defensive_efficiency_team1,defensive_efficiency_team2,defensive_efficiency_difference,team1_tempo,team2_tempo,tempo_difference,team1_efgpct,team2_efgpct,efgpct_difference,team1_experience,team2_experience,experience_difference,team1_rating,team2_rating,rating_difference,team1_winner,team2_winner
Baylor Bears,21,Gonzaga Bulldogs,9,63,101,38,121.10,125.20,4.10,100.80,97.90,2.90,65.38,70.40,5.02,52.05,56.41,4.36,2.72,2.97,0.12,20.3,27.3,7,0,1
Ohio State Buckeyes,35,Texas Longhorns,34,80,72,8,118.10,116.70,1.40,98.60,100.70,2.10,67.51,67.40,0.11,53.70,52.90,0.81,2.16,2.85,1.46,19.5,16,3.5,1,0
North Carolina Tar Heels,27,Kansas Jayhawks,11,89,92,3,119.20,115.40,3.80,102.00,92.20,9.80,70.94,68.80,2.14,54.26,53.14,1.12,2.24,3.62,0.01,17.2,23.2,6,0,1
New Mexico Lobos,49,UCLA Bruins,26,72,64,8,113.70,116.50,2.80,96.60,95.00,1.60,73.34,64.90,8.44,51.25,52.94,1.69,2.45,2.23,0.19,17.1,21.5,4.4,1,0
Auburn Tigers,3,Houston Cougars,2,74,69,5,130.70,124.90,5.80,93.10,89.50,3.60,68.56,61.20,7.36,56.05,53.21,2.84,2.79,2.63,1.25,37.6,35.4,2.2,1,0
Baylor Bears,21,Arkansas Razorbacks,43,72,67,5,121.10,111.80,9.30,100.80,95.00,5.80,65.38,69.20,3.82,52.05,52.28,0.23,2.72,1.54,0.45,20.3,16.8,3.5,1,0
Tennessee Volunteers,4,Louisville Cardinals,30,77,55,22,118.60,118.90,0.30,87.20,96.40,9.20,63.93,69.10,5.17,52.49,53.55,1.06,2.92,3.17,0.69,31.4,22.5,8.9,1,0
Michigan State Spartans,12,Kansas Jayhawks,11,69,77,8,115.40,120.20,4.80,91.20,92.20,1.00,67.80,68.80,1.00,50.96,53.14,2.18,1.62,3.62,1.47,26.9,23.2,3.7,0,1
Duke Blue Devils,1,Kentucky Wildcats,14,72,77,5,128.90,125.30,3.60,89.80,100.90,11.10,66.06,70.80,4.74,57.66,56.17,1.49,1.93,3.09,0.19,39.1,24.4,14.7,0,1
Alabama Crimson Tide,5,Purdue Boilermakers,16,78,87,9,127.30,124.10,3.20,97.90,99.50,1.60,75.00,65.40,9.60,56.57,56.57,0.00,2.99,1.73,0.37,29.4,24.6,4.8,0,1
Arizona Wildcats,10,Wisconsin Badgers,19,88,103,15,120.20,124.00,3.80,95.00,97.30,2.30,70.28,67.70,2.58,52.14,54.95,2.81,2.72,2.62,0.58,25.2,26.7,1.5,0,1
Marquette Golden Eagles,18,Maryland Terrapins,15,78,74,4,118.30,118.50,0.20,95.70,93.70,2.00,67.56,70.10,2.54,52.26,54.50,2.24,2.05,2.14,0.91,22.6,24.8,2.2,1,0
Ohio State Buckeyes,35,Texas A&M Aggies,23,64,78,14,118.10,115.90,2.20,98.60,93.00,5.60,67.51,66.80,0.71,53.70,47.60,6.10,2.16,2.97,1.30,19.5,22.9,3.4,0,1
Colorado State Rams,56,Ole Miss Rebels,31,69,84,15,115.40,118.10,2.70,101.00,96.00,5.00,66.25,68.30,2.05,54.89,51.85,3.04,2.41,3.46,0.05,14.4,22.1,7.7,0,1
New Mexico Lobos,49,St. John's Red Storm,17,71,85,14,113.70,113.90,0.20,96.60,89.20,7.40,73.34,70.10,3.24,51.25,49.54,1.71,2.45,2.36,0.92,17.1,24.7,7.6,0,1
Gonzaga Bulldogs,9,San Diego State Aztecs,54,80,67,13,125.20,110.60,14.60,97.90,93.80,4.10,70.39,66.10,4.29,56.41,50.54,5.87,2.97,1.52,0.92,27.3,16.8,10.5,1,0
Purdue Boilermakers,16,Marquette Golden Eagles,18,58,76,18,124.10,118.30,5.80,99.50,95.70,3.80,65.39,67.60,2.21,56.57,52.26,4.30,1.73,2.05,1.26,24.6,22.6,2,0,1
Illinois Fighting Illini,22,Alabama Crimson Tide,5,87,100,13,121.90,127.30,5.40,97.70,97.90,0.20,71.57,75.00,3.43,52.13,56.57,4.44,1.07,2.99,1.28,24.2,29.4,5.2,0,1
Baylor Bears,21,St. John's Red Storm,17,99,98,1,121.10,113.90,7.20,100.80,89.20,11.60,65.38,70.10,4.72,52.05,49.54,2.51,2.72,2.36,0.00,20.3,24.7,4.4,1,0
Tennessee Volunteers,4,Baylor Bears,21,77,62,15,118.60,121.10,2.50,87.20,100.80,13.60,63.93,65.40,1.47,52.49,52.05,0.44,2.92,2.72,0.20,31.4,20.3,11.1,1,0
Duke Blue Devils,1,Arizona Wildcats,10,69,55,14,128.90,120.20,8.70,89.80,95.00,5.20,66.06,70.30,4.24,57.66,52.14,5.52,1.93,2.72,0.72,39.1,25.2,13.9,1,0
Nebraska Cornhuskers,53,Creighton Bluejays,25,74,63,11,107.10,116.10,9.00,97.60,98.00,0.40,67.55,68.00,0.45,51.57,55.36,3.79,2.79,2.65,0.73,15.6,18.1,2.5,1,0
Georgia Bulldogs,39,Marquette Golden Eagles,18,69,80,11,115.50,118.30,2.80,96.60,95.70,0.90,66.79,67.60,0.81,52.49,52.26,0.23,1.87,2.05,0.85,18.9,22.6,3.7,0,1
Wisconsin Badgers,19,Pittsburgh Panthers,50,81,75,6,124.00,117.20,6.80,97.30,103.10,5.80,67.70,66.30,1.40,54.95,52.53,2.42,2.62,2.72,0.76,26.7,14.1,12.6,1,0
